Lokasi,MMR,Jumlah_Dokter,Jumlah_Faskes,Pct_Persalinan_Ditolong_Nakes,Pct_Layanan_Ibu_Nifas
Cilacap,41.03,5955,202,100.0,98.9
Banyumas,64.18,8855,192,100.1,98.7
Purbalingga,66.47,3507,274,99.7,96.9
Banjarnegara,95.15,2915,413,99.0,95.1
Kebumen,65.77,5086,64,100.0,99.0
Purworejo,60.44,3221,103,99.8,98.6
Wonosobo,72.97,2321,243,100.0,98.4
Magelang,59.81,3316,68,99.9,97.6
Boyolali,114.06,4171,87,99.9,100.6
Klaten,58.43,6250,221,99.9,97.4
Sukoharjo,83.61,6104,22,100.0,99.8
Wonogiri,59.59,3826,336,100.0,96.2
Karanganyar,38.85,3791,304,100.0,99.8
Sragen,113.42,4800,164,100.0,96.7
Grobogan,87.36,5303,505,100.0,96.7
Blora,100.05,3129,36,100.0,99.9
Rembang,62.27,2781,96,100.0,98.9
Pati,64.6,5567,178,100.0,99.4
Kudus,30.21,4708,30,100.0,98.6
Jepara,69.02,3820,94,100.0,99.1
Demak,40.68,3524,136,100.0,99.9
Semarang,104.74,3746,186,100.0,95.6
Temanggung,42.66,2730,91,85.7,98.9
Kendal,139.66,3985,101,100.0,98.4
Batang,67.68,2455,230,100.0,99.9
Pekalongan,104.16,3063,32,99.7,98.5
Pemalang,34.27,3787,237,99.8,99.3
Tegal,54.78,4883,92,99.9,94.7
Brebes,162.54,5695,106,84.9,97.0
Kota Magelang,125.0,3174,61,100.0,100.0
Kota Surakarta,72.5,10041,88,100.0,100.0
Kota Salatiga,65.53,2272,121,100.0,100.0
Kota Semarang,62.13,17666,76,100.0,102.7
Kota Pekalongan,94.11,2507,22,100.0,99.9
Kota Tegal,21.78,2704,59,100.0,99.6
